Celsius, Fahrenheit, Humidity
32.2,89.96000000000001,68.225171967128
31.1,87.98,77.500674690895
30.6,87.08000000000001,79.74530566981
29.4,84.91999999999999,82.465981961696
28.9,84.02,84.884784338985
28.3,82.94,87.893537569542
27.8,82.04,90.492805989506
31.1,87.98,77.500674690895
33.9,93.02,63.873360482874
35.6,96.08000000000001,60.215904749785
37.2,98.96000000000001,55.155974116492
37.2,98.96000000000001,53.237472345911
36.1,96.98,56.542767652041
36.1,96.98,58.580381292846
33.9,93.02,62.008994940017
29.4,84.91999999999999,72.328259698258
28.3,82.94,74.35161183138
27.8,82.04,74.269456885044
27.8,82.04,74.269456885044
24.4,75.92,84.929210121545
23.9,75.02,87.515784017394
22.8,73.04,90.149085239322
22.8,73.04,87.418653982336
22.2,71.96,87.365207782319
22.2,71.96,87.365207782319
22.2,71.96,87.365207782319
22.2,71.96,84.172308156337
21.7,71.06,86.779227810896
21.7,71.06,84.117198153574
21.7,71.06,84.117198153574
21.7,71.06,84.117198153574
21.7,71.06,84.117198153574
21.7,71.06,84.117198153574
22.2,71.96,81.590248067882
22.2,71.96,81.590248067882
22.2,71.96,81.590248067882
23.3,73.94,76.325722453238
24.4,75.92,73.70091272937
23.9,75.02,73.615825457565
23.3,73.94,76.325722453238
22.2,71.96,81.590248067882
22.2,71.96,84.172308156337
22.2,71.96,84.172308156337
23.3,73.94,78.741177808945
23.3,73.94,78.741177808945
25.0,77.0,73.802512188061
26.0,78.8,69.54626593683
25.6,78.08,71.214708535234
25.6,78.08,71.214708535234
25.6,78.08,73.903563829241
23.3,73.94,78.741177808945
22.2,71.96,84.172308156337
22.2,71.96,84.172308156337
22.2,71.96,84.172308156337
22.2,71.96,87.365207782319
22.2,71.96,87.365207782319
22.2,71.96,87.365207782319
21.7,71.06,90.071015455661
20.6,69.08,89.992032132584
20.6,69.08,92.839980753296
19.4,66.92,96.932411448598
19.4,66.92,93.360569892076
20.0,68.0,89.94856028028
20.0,68.0,93.389863240725
19.4,66.92,96.932411448598
19.0,66.2,93.929774401027
20.0,68.0,93.389863240725
20.0,68.0,93.389863240725
20.0,68.0,93.389863240725
20.6,69.08,92.839980753296
21.1,69.98,93.443072582485
21.1,69.98,93.443072582485
21.1,69.98,93.443072582485
21.1,69.98,93.443072582485
21.7,71.06,86.779227810896
21.7,71.06,86.779227810896
22.0,71.6,78.062863996432
21.7,71.06,81.017581632195
22.2,71.96,76.153083401811
21.7,71.06,75.59455930106
21.1,69.98,75.978662533015
22.2,71.96,68.375390071082
23.3,73.94,66.453172358623
23.3,73.94,61.951860577668
23.9,75.02,59.752298549825
23.3,73.94,63.96353937857
23.9,75.02,59.752298549825
21.7,71.06,68.27602497162
